week,date,kind,lecture,topic,reading,hw,hw_posted,hw_due,quiz,note
1,2026-09-01,lecture,1,Introduction: Five Questions,Ch. 1 (overview),,,,,
1,2026-09-03,lecture,2,"Basic Set Theory, Experiments and Events",2.1,,,,,
2,2026-09-08,lecture,3,"Classical Probability, Counting and Combinatorics",2.2–2.3,HW1,2026-09-11,2026-09-18,Quiz 1 · in discussion,
2,2026-09-10,lecture,4,Geometric Probability and the Modern Definition,2.1–2.2,,,,,
3,2026-09-15,lecture,5,Conditional Probability and Independence,2.4,HW2,2026-09-18,2026-09-25,Quiz 2 · in discussion,
3,2026-09-17,lecture,6,"Independent Trials, Total Probability, Bayes' Theorem",2.4–2.5,,,,,
4,2026-09-22,lecture,7,Bayes in Practice; Random Variables,2.4–3.1,HW3,2026-09-25,2026-10-02,Quiz 3 · in discussion,
4,2026-09-24,lecture,8,Distributions of Random Variables: pmf and cdf,3.1–3.2,,,,,
5,2026-09-29,lecture,9,Expected Value of a Discrete Random Variable,3.3,HW4,2026-10-02,2026-10-09,Quiz 4 · in discussion,
5,2026-10-01,lecture,10,"Variance; Binomial, Geometric and Hypergeometric",3.3–3.5,,,,,
6,2026-10-06,lecture,11,Review for Midterm 1,Ch. 2–3.5,,,,,
6,2026-10-08,exam,,Midterm 1,,,,,,
7,2026-10-13,holiday,,Fall Break — no class,,HW5,2026-10-16,2026-10-23,Quiz 5 · in discussion,
7,2026-10-15,lecture,12,"Negative Binomial, Poisson, and the Poisson Process",3.5–3.6,,,,,
8,2026-10-20,lecture,13,"Continuous Random Variables: pdf, cdf, Percentiles",4.1–4.2,HW6,2026-10-23,2026-10-30,Quiz 6 · in discussion,
8,2026-10-22,lecture,14,The Normal Distribution,4.3,,,,,
9,2026-10-27,lecture,15,Transformations; the Exponential and Gamma Distributions,4.4,HW7,2026-10-30,2026-11-06,Quiz 7 · in discussion,
9,2026-10-29,lecture,16,"Chi-Square, Weibull, Lognormal, Beta",4.4–4.5,,,,,
10,2026-11-03,lecture,17,Review for Midterm 2,Ch. 3.5–4.5,,,,,
10,2026-11-05,exam,,Midterm 2,,,,,,
11,2026-11-10,lecture,18,"Joint Distributions, Marginals, Conditionals",5.1–5.2,HW8,2026-11-13,2026-11-20,Quiz 8 · in discussion,
11,2026-11-12,lecture,19,"Expected Values, Covariance and Correlation",5.2,,,,,
12,2026-11-17,lecture,20,"Samples, Statistics, and Sampling Distributions",5.3,HW9,2026-11-20,2026-11-24,Quiz 9 · in discussion,
12,2026-11-19,lecture,21,Simulation and the Central Limit Theorem,5.4–5.5,,,,,
13,2026-11-24,lecture,22,Linear Combinations; Point Estimation and Bias,"5.5, 6.1",,,,,
13,2026-11-26,holiday,,Thanksgiving — no class,,,,,,
14,2026-12-01,lecture,23,Minimum Variance Estimators; Method of Moments,6.1–6.2,HW10,2026-12-04,2026-12-11,Quiz 10 · in discussion,
14,2026-12-03,lecture,24,Maximum Likelihood Estimation,6.2,,,,,
15,2026-12-08,lecture,25,Properties of MLEs; Confidence Intervals,"6.2, 7.1",,,,,
15,2026-12-10,lecture,26,Review for the Final Exam,Ch. 2–6,,,,,
16,2026-12-14,final,,Final Exam · date set by the Registrar,,,,,,
