week,date,kind,lecture,topic,reading,hw,hw_posted,hw_due,quiz,note
1,2026-01-27,holiday,,No class,,,,,,
1,2026-01-29,lecture,1,Introduction to Probability and Statistics with examples,,,,,,
2,2026-02-03,lecture,2,"Basic Set Theory, Experiment, Outcome, Sample Space and Events",,HW1,2026-02-06,2026-02-13,Quiz 0 (not count for final grade),
2,2026-02-05,lecture,3,"Classical Probability, Combinations, Permutations, Fundamental Principles of Counting, Examples in Poker",,,,,,
3,2026-02-10,lecture,4,"Geometric Probability, Bertrand Paradox, Modern Probability",,HW2,2026-02-13,2026-02-20,Quiz 1,
3,2026-02-12,lecture,5,"Event Field, Probability Function, Probability Space",,,,,,
4,2026-02-17,lecture,6,"Conditional Probability, Independence, Pairwise/Mutual Independence, Law of Total Probability",,HW3,2026-02-20,2026-02-27,Quiz 2,
4,2026-02-19,lecture,7,Bayes Theorem and its Applications,,,,,,
5,2026-02-24,lecture,8,"Random Variables, Discrete RV, distribution of RV, pmf of discrete r.v.",,HW4,2026-02-27,2026-03-06,Quiz 3,
5,2026-02-26,lecture,9,Expected Value of discrete RV,,,,,,
6,2026-03-03,lecture,10,"Heavy Tail, Expected Values of functions of RV.",,,,,Quiz 4,
6,2026-03-05,review,,Midterm 1 Review Class,,,,,,
7,2026-03-10,exam,,Midterm 1,,,,,,
7,2026-03-12,lecture,12,"Remote Class: Variance, Binomial Distribution",,,,,,
8,2026-03-17,holiday,,No class,,,,,,
8,2026-03-19,holiday,,No class,,,,,,
9,2026-03-24,lecture,13,"Geometric Distribution, Hypergeometric Distribution, Negative Binomial Distribution",,HW5,2026-03-27,2026-04-03,Quiz 5,
9,2026-03-26,lecture,14,"Poisson Distribution, Poisson Process, Continuous RV",,,,,,
10,2026-03-31,lecture,15,"Continuous RV, pdf, cdf, percentiles",,HW6,2026-04-03,2026-04-10,Quiz 6,
10,2026-04-02,lecture,16,"Expected value and Variance of Continuous RV, normal distribution",,,,,,
11,2026-04-07,lecture,17,"Standard Normal Distribution, exponential distribution, gamma distribution",,,,,Quiz 7,
11,2026-04-09,lecture,18,Mid2 Review Class,,,,,,
12,2026-04-14,exam,,Midterm 2,,HW7,2026-04-19,2026-04-26,Quiz 8,
12,2026-04-16,lecture,19,"Weibull, Beta, Lognormal, Chi-square, Joint pmf, Joint pdf, marginal, Independence, expected value, covariance, correlation",,,,,,
13,2026-04-21,lecture,20,"Sample, random sample, sample data, statistics, distribution of statistics, central limit theorem",,HW8,2026-04-24,2026-05-01,Quiz 9,
13,2026-04-23,lecture,21,"Linear combination of random variables, point estimation",,,,,,
14,2026-04-28,lecture,22,"Biased and Unbiased estimator, variance of estimator",,HW9,2026-05-01,2026-05-08,Quiz 10,
14,2026-04-30,lecture,23,"MVUE, Method of Moments, MLE",,,,,,
15,2026-05-05,lecture,24,"MLE, Confidence Interval",,,,,,
15,2026-05-07,review,,Final Review,,,,,,
16,2026-05-14,final,,Final Exam · 10:30 am – 12:30 pm,,,,,,
